ID	SENTENCE	HEAD WORD	DEPENDENT WORD	RELATION	CORRECT?
853	Next came a stay of at least several months , or possibly years , with Rufinus at Aquileia , where he made many Christian friends .	months	years	conj
2008	Gorbachev also proposed a nuclear free weapons zone in the region , but the U.S would n’t consider that .	consider	that	obj
2916	The case on which the Court has ruled was of the religious schools Santo Spirito and Immacolata in Livorno , Tuscany , to pay over 422,000 euros in arrears for the period from 2004 to 2009 .	period	to	nmod
4034	Throw away or donate junk you do n't want to take to your new place .	take	place	obl
1528	I was no stranger to the taunts and insults , or the foot that appears from nowhere to trip you up en route from A to B .	appears	that	nsubj
232	however , in the study by Hein and colleagues it was found that children responded more or less frequently based on factors such as stimuli type .	found	study	obl
3585	Reality hurts when it intrudes ; as such , an arrogant person is less likely than other people to self-reflect or analyse , thereby not seeing their own imperfections .	such	as	case
2245	For our readers who are unaware of your site , could you briefly explain what wikiHow is ?	explain	what	ccomp
381	Longer limbs are expected to experience larger bending and torsional moments , so the fact that experimental animals had longer femora suggests that limb verticalization reduces these moments by orienting the bone more parallel to the GRF line of action .	experience	to	mark
1291	The rocking chair , the watering can , boxes of cuttings , and tied-up newspapers , all floated away as we slammed the kitchen door shut and retreated to the front room we gazed out at the river that the street had become .	become	that	obj
1191	I gently try to take them .	take	them	obj
3558	Therefore , if you are staying overnight in York and arriving by car , make sure that your hotel offers parking before you book .	make	sure	compound:prt
3699	If you want to plant the basil in a container , make sure it 's large enough to accommodate the number of plants you 're growing ;	make	sure	compound:prt
3966	In other words , make sure that you follow the same guidelines .	make	sure	compound:prt
3119	Come and see Manakau , the property of his descendants , located on the eastern corner of Rekohu and blessed with the sun 's first rays as they rise above the sea each day .	day	each	det
149	With respect to the contributions of digital games to improvement of cognitive processes , researchers suggest that regular practice has a significant influence on improving the performance related to basic visual skills ( Li , Polat , Scalzo , & Bavelier , 2010 ) ; on the ability to perceive objects simultaneously ( Dye & Bavelier , 2010 ; Feng , Spence , & Pratt , 2007 ) ; and on the ability to do more than one task at the same time ( Boot , Kramer , Simons , Fabiani , & Gratton , 2008 ) .	one	more	advmod
2519	But if somebody wakes up one morning and suddenly no longer is funny , then yeah , head first , out the door as quickly as possible , and as sadistically as possible .	possible	as	mark
2519	But if somebody wakes up one morning and suddenly no longer is funny , then yeah , head first , out the door as quickly as possible , and as sadistically as possible .	possible	as	mark
2633	The short answer is that we do n't know .	know	that	mark
2646	When people are searching using the virtual microscope , they will be looking not for the particles , but for the tracks that the particles make , which are much larger — several microns in diameter .	make	that	obj
3862	On the other hand , this is n't to say that you should necessarily make jokes at other people 's expense , as this can make you seem mean and petty .	make	that	mark
480	Born in Tianjin with ancestry in Changzhou , Jiangsu province , Chao went to the United States with a Boxer Indemnity Scholarship in 1910 to study mathematics and physics at Cornell University , where he was a classmate and lifelong friend of Hu Shih , the leader of the New Culture Movement .	States	United	compound
491	Chao taught mathematics at Tsinghua University and , one year later , returned to the United States to teach at Harvard .	States	United	compound
2050	In a 2003 interview with the Associated Press , Rick Santorum compared legalizing same-sex marriage in the United States to supporting bestiality .	States	United	compound
3122	You ll find world-class museums and cultural events , professional sports and amusement parks , and the most golf courses per capita in the United States .	States	United	compound
3127	Cleveland is the urban center of Northeast Ohio , the 15th largest combined metropolitan area in the United States .	States	United	compound
531	He achieved some fame as an architect by redesigning the City Hall in New York for the First Congress of the United States ( See : Federal Hall ) .	Congress	States	nmod
587	Around 4 July 1831 , Poisson declared Galois ' work " incomprehensible " , declaring that " [ Galois ' ] argument is neither sufficiently clear nor sufficiently developed to allow us to judge its rigor " ; however , the rejection report ends on an encouraging note : " We would then suggest that the author should publish the whole of his work in order to form a definitive opinion . " [ 16 ]	form	in	mark
1058	Finally , Pachomius called on him to preach to the brothers despite his youth , and eventually appointed him steward of Tabennese after several new monasteries had been built .	built	been	aux:pass
591	Galois ' fatal duel took place on 30 May . [ 17 ]	took	17	dep
2175	The hardest thing in running this business , which is why people ca n't do it , is the relationship that my wife has with the gals and with the customers .	has	that	obj
3102	One of only two National Historic Scenic Reserves in New Zealand ( the other is the Waitangi Treaty Grounds ) , Hapupu is a special place , and somewhere that you will want to tell others about .	tell	that	obl
1742	And they have to tell you where it is if you catch them ? ”	tell	you	iobj
1768	“ And it was n’t pleasant I can tell you . ”	tell	you	iobj
1015	Padalecki originally auditioned for Welling 's role , but gave it up in order to film a pilot titled Young MacGyver which was never picked up . [ 8 ]	picked	which	nsubj:pass
2895	I went back the next Tuesday night and there was almost no one there , just a few stray photographers taking advantage of the unimpeded views of the lanterns .	went	back	compound:prt
3214	Audio-visual displays , detailed exhibits , gives visitors a sense of what this town was like centuries ago .	was	what	obl
1861	Most versions in English are called The Chemical Wedding of Christian Rosencreutz , which suggests ( and most people who ’ve heard of it suppose ) that the wedding is Christian ’s .	heard	it	obl
3292	The population of Łódź soared from some 4,000 people in the 1830s and 40,000 in 1865 to over 300,000 inhabitants at the turn of the century , which was an unprecedented growth on a worldwide scale .	turn	at	case
2895	I went back the next Tuesday night and there was almost no one there , just a few stray photographers taking advantage of the unimpeded views of the lanterns .	was	there	advmod
2159	We hire the opposite of what you 'd think we would hire , what the average person would think we would hire .	think	what	obj
2469	Writers will occasionally write their own headlines , but we come up with a list of 15 or 20 headline ideas , what we think will make a good story and then we assign it based upon what people ’s writing strengths are .	think	what	obj
2022	So I think the first question is , what is this all about , why should we even be debating NATO , is there any reason why it should exist ?	think	what	ccomp
1277	And with it , the rain .	rain	it	nmod
2788	The " History " section of the site explains , in a satirical fashion , that the incident was prompted by the Church of Scientology 's attempts to remove a promotional video featuring Scientologist Tom Cruise from YouTube .	prompted	that	mark
2864	No injuries or deaths were reported in the attacks from either side , but South Korea evacuated about 80 people in the town of Yeoncheon after at least one shell landed near the area .	one	at	advmod
1460	My mother says , “ Is it time to go ? ”	mother	My	nsubj
3882	Some of this stuff is dangerous -- this experiment is not meant for children !	meant	children	obl
721	She wrote relatively little as a result of living a brief life — she died at 24 — but her stories had a large impact on Japanese literature and she is still appreciated by the Japanese public today .	wrote	died	parataxis
1063	Pachomius had not named a successor , and several brothers pleaded with Theodorus to assert himself as head of the Koinonia when the sickly man died .	died	man	nsubj
1743	“ That ’s leprechauns , idiot ! ” said the voice from my noise .	said	voice	nsubj
1759	“ Perhaps I do n’t know the answers anyway ? ” said the voice .	said	voice	nsubj
1767	“ Yes he has , ” the voice said .	said	voice	nsubj
1781	“ You could see things like that … ” said the voice with resignation .	said	voice	nsubj
1412	And as I ran along the shore , crushing sleeping flowers with heedless feet and maddened ever by the fear of unknown things and the lure of the dead faces , I saw that the garden had no end under that moon ; for where by day the walls were , there stretched now only new vistas of trees and paths , flowers and shrubs , stone idols and pagodas , and bendings of the yellow-litten stream past grassy banks and under grotesque bridges of marble .	saw	had	ccomp
1430	“ I had it done when I was little and see , you ca n’t even tell . ”	had	it	obj
3638	If your drawstring is longer than your pinkie then you should cut it off till it is roughly the size of your fingernail .	cut	it	obj
2326	Even though legislative support may be less strong than the one provided by the Americans with Disabilities Act , many social institutions including the media are more receptive to this form of diversity .	form	to	case
2173	There 's supplies , and there 's wear and tear and maintenance , and bookkeeping and things like that that you have to do .	have	do	xcomp
4099	List everything , big and small , that you have to do for your entire day ; break big activities into smaller bits if necessary .	have	do	xcomp
2110	What we could do , however , was to study anatomy and figure out what it is , so that when we have samples preserved for studying e.g. , the genome , transcriptome , or metabolome , or conduct tests of the fluid in the burrows or in the animals themselves , we can make precise comparisons , and figure out what these animals have or do ( metabolically or chemically ) that lets them live where they live .	have	do	conj
2620	The first challenge that we have before can do any kind of analysis of these interstellar dust particles is simply to find them .	have	do	advcl
3976	To do this , think of various words that begin with / have a lot of a certain vowel .	have	do	csubj
2431	Last year in my section at the stadium I had a banner that read We Know ' .	read	that	nsubj
3181	This cultural diversity is represented through the vast variety of international restaurants and small business , and in particular , there is a strong Korean presence that can be seen in retail and dining storefronts .	seen	that	nsubj:pass
1515	But I did n't know what to do .	know	do	xcomp
3900	Do n't use your hands -- use a metal or plastic utensil of some sort .	sort	of	case
1746	“ We — ? ” I started .	started	We	ccomp
1501	Most people would say it started with the Fireflies , but they 'd be wrong .	started	it	nsubj
1735	And then it started insulting me . ”	started	it	nsubj
1787	Once it got started , I realised that the idea must have been inspired by the title of Justine Larbalestier ’s How to Ditch Your Fairy , although it has nothing at all to do with that story at all .	started	it	nsubj:pass
472	Taking his discoveries further , Daniel Bernoulli now returned to his earlier work on Conservation of Energy .	work	to	case
2996	It was a very practical salesman approach to his work .	work	to	case
3337	They have lunch and siesta , then go back to work for a few hours in the late afternoon .	work	to	case
4137	Do whatever it is you ’ve been daydreaming about so that the temptation is removed once you get back to work .	work	to	case
381	Longer limbs are expected to experience larger bending and torsional moments , so the fact that experimental animals had longer femora suggests that limb verticalization reduces these moments by orienting the bone more parallel to the GRF line of action .	had	that	mark
398	Nonetheless , this does not mean that tail reduction had no effect on CoM displacement , but that it was not the most important factor .	had	that	mark
585	After his expulsion became official in January 1831 , he attempted to start a private class in advanced algebra which attracted some interest , but this waned , as it seemed that his political activism had priority . [ 4 ] [ 7 ]	had	that	mark
727	She fell in love with him right away , not knowing that , at 31 , he had a reputation as a womanizer .	had	that	mark
1412	And as I ran along the shore , crushing sleeping flowers with heedless feet and maddened ever by the fear of unknown things and the lure of the dead faces , I saw that the garden had no end under that moon ; for where by day the walls were , there stretched now only new vistas of trees and paths , flowers and shrubs , stone idols and pagodas , and bendings of the yellow-litten stream past grassy banks and under grotesque bridges of marble .	had	that	mark
2017	And the claim was that it had to do with Iranian missiles , but forget about that .	had	that	mark
2287	When I discovered Wikipedia , I recognized that the wiki model had the potential to build the how-to resource the world really needs .	had	that	mark
1513	I could see into his head better than I could see into my own ; he was scared that his attackers might think those hands were coming up to hit back , that they 'd read it as an act of defiance and hurt him even more .	coming	up	advmod
2272	I think that providing people with a practical education is one of the most empowering things you can offer a person .	one	that	mark
2349	Cause that 's one of our problems really , to compete .	one	that	nsubj
2357	Was that the one where you were the captain of the team , in 2005 ?	one	that	nsubj
2358	Or was that a later one ?	one	that	xcomp
1887	He soon came back and gave me the good news that I actually had n’t overslept ; all I ’d done was miss breakfast : they had n’t wanted to wake an old man who needed his rest .	came	wanted	parataxis
2998	" He wanted to be rich and famous and he made lots of choices to go that way " , Wilkins said .	way	that	det
1595	It 's like , your mom and dad murdered you — "	like	's	cop
3906	It 's not like the glow will get up and run away from you , but still .	like	's	cop
1249	“ Okay , ” I say and get out of the car .	say	get	conj
1539	So I picked up a rock the size of my fist and hit two of Pag 's assailants across the backs of their heads before anyone even knew I was in the game .	knew	before	mark
24	It is the only cycle to be preserved in purpose-built surroundings in the UK , and one of very few of its kind in the world .	kind	of	case
3260	Anse Bertrand , not far from there , you can visit La pointe de la Grande Vigie , northern point of mainland Guadeloupe .	there	from	mark
3267	Not too far from there , you can find a local bar / nightclub named Bik Kreyol , Beau Soleil , 0590258046 or 0590920648 ( Entrance € 5 , Drinks € 3 ) .	there	from	mark
3969	Make sure you practice saying and spelling out many basic words in your language , English examples : is , who , when , of , why , if , what , where , can , may , etc .	is	who	conj
3584	As such , instead of accepting that the world behaves randomly and at times totally averse to one 's preferences , the arrogant person seeks to control everything and everyone , which of course , is an impossible mission .	one	's	case
1692	Carroll met Rachel in the Jellicoh College library , where he had a part-time job .	met	had	advcl
1676	" My father will like you , " she said .	said	like	parataxis
40	Because assembling such a full census is difficult , past studies have tended to avoid this task and have instead used samples of researchers [ 8 – 11 ] , usually specific to a particular field [ 12 – 16 ] , and often focused on the scientific elite [ 17 , 18 ] .	used	have	aux
394	Due to the phylogenetic relatedness , extant birds have been used to inform functional aspects of non-avian dinosaur locomotion .	used	have	aux
2828	Microsoft 's Internet Explorer 6 is one of the most successful software products ever as measured by its durability and the massive numbers of people who have used it .	used	have	aux
323	It introduces errors in the processing of geometries , manipulating the result of the operations that carry out the verification of different topological restrictions between geometries , such as intersects , covers or overlap .	carry	that	nsubj
186	We show that the form is locally calibrated in ways that show it fitting within different language systems .	show	that	nsubj
3413	Tourists can choose to purchase camping tour packages which include a driver or guide that will show tourists around the beaches as well as provide meals during their stay .	show	that	nsubj
2422	Do n't let them get in your head !	let	get	xcomp
2505	It ’s this quiet experience where you are trying to soak in what the joke is , have we done anything like this , is it a unique take , what are other people doing .	done	this	obl
735	The plots were thin , there was little development of character and they were loaded down by excessive sentiment , especially when compared to what she was writing concurrently in her diary .	what	to	case
2123	I compared the things I saw under the 'scopes to what had been published on other species in this group .	what	to	case
2125	By comparing my observations to what my colleagues and predecessors had found , I figured out what group it belongs to , and was able to determine that within that group , it was a new species .	what	to	case
2493	I think it ’s similar to what Colbert said to Terry Gross .	what	to	case
3851	For instance , if you 're asked what you 're up to , rather than saying , " looking for people to hit on on Facebook " you might find that it 's a better idea to give a sarcastic answer like " writing the great American novel " or " drowning my sorrows " .	what	to	case
2929	Because I have the clear sensation that with this way of thinking , they wait the praise of some ideologized supporters .	have	that	advmod
2351	And so we can compete against each other all the time within Australia but we really need to be able to ...	able	to	xcomp
3220	Other than eating , or shopping , or shopping for food , there is not much else to do unless you work in Fort Lee .	is	do	csubj
2175	The hardest thing in running this business , which is why people ca n't do it , is the relationship that my wife has with the gals and with the customers .	is	do	advcl
2534	And then when you do it in an asymptotic way is like you do n't look at the small details .	is	do	advcl
1130	“ It ’ll take that long to put Humpty back together again anyway . ”	take	long	obl:tmod
2126	It was three years between recovery of specimens and final publication , why did it take so long ?	take	long	advmod
1652	“ And you take it out on the super , ” I said .	take	it	obj
2337	Will they take it as an opportunity to educate viewers about disability and diversity while showing superb athletic performances without engaging in a discourse of pity ?	take	it	obj
3789	If you want to take it a step further , look around questioningly at everyone in the elevator when no one gets off at the floors you pushed . [ 1 ]	take	it	obj
4244	Quinoa will continue cooking for a bit even after you take it off the heat .	take	it	obj
2904	Muslims are required to make a pilgrimage to Mecca during their lifetimes , if physically or financially possible , as it is one of the five pillars of the Islamic faith .	one	as	mark
4129	Working with a timer is generally regarded by most experts as being one of the best ways to develop self-discipline and stop procrastination .	one	as	mark
2161	I remember one of our ads that I had put in said , " If you think nice girls do n't do S&M , " -- I forgot what the rest of it said --	think	do	ccomp
3571	Jealousy of your achievements or seeming lifestyle can cause another person to feel smug or arrogant about something they think they do better than you or own / have that you do n't .	think	do	ccomp
3969	Make sure you practice saying and spelling out many basic words in your language , English examples : is , who , when , of , why , if , what , where , can , may , etc .	is	what	conj
3657	Position a large mirror so you can check your positioning and see what you 're doing .	check	see	conj
2102	What I want to do with the animals requires new material preserved in diverse ways , but it does n't require me to be there .	want	do	xcomp
4109	Every single to do or things you want to do at that specific moment .	want	do	xcomp
4120	Whenever you are presented with something that you do n’t want to do or would consider putting off , ask yourself , “ will this take me less than two minutes to finish ? ”	want	do	xcomp
2540	First of all because it was beautiful .	First	all	obl
2552	First of all I think maybe they have bad teachers , which is a problem .	First	all	obl
100	Besides the enjambment types above , Spang ( 1983 ) noted that if a subject or direct object and their related verbs occur in two different lines of poetry , this can also feel unusual for a reader , even if the effect is less pronounced than in the environments identified by Quilis .	feel	that	mark
2005	Now it is remarkable in the light of history , the history of the past century , Germany alone had virtually destroyed Russia , twice , and Germany backed by a hostile military alliance , centered in the most phenomenal military power in history , that ’s a real threat .	history	history	appos
2492	I think it ’s important we have an original take on those things .	important	have	ccomp
3863	Any sort of pointed or caustic remarks about yourself or someone else do n't have a place in flirtatious conversations .	have	sort	nsubj
3851	For instance , if you 're asked what you 're up to , rather than saying , " looking for people to hit on on Facebook " you might find that it 's a better idea to give a sarcastic answer like " writing the great American novel " or " drowning my sorrows " .	asked	you	nsubj:pass
586	Siméon Poisson asked him to submit his work on the theory of equations , which he did on 17 January 1831 .	asked	him	iobj
1155	She asked him to stop , and he refused , giggling .	asked	him	iobj
1419	This I would have asked him had he not been so far away , but he was very far , and could not be seen at all when he drew nigh that gigantic reef .	asked	him	iobj
1300	“ Is it him ? ” we asked each other , nudging elbows and climbing onto the chairs .	asked	him	ccomp
3574	This happens when you question ( or at least seem to question ) their appearance , intelligence , athletic abilities , or anything else relating to their self-image .	question	to	mark
2021	Well I think that ’s a pretty good question ; I do n’t see why it should , I mean there happens to be no other military alliance remotely comparable — if there happened to be one I ’d be opposed to that too .	question	that	nsubj
2924	Undersecretary for Education Mr. Toccafondi says " many schools will increase their fees or they will quit . Then the State will have to find new resources to build new structures and manage them " ( ( it ) ) .	have	it	dep
1977	We have to have knowledge of the history of magic and what has been done before .	have	have	xcomp
2553	You have to have very good teachers in mathematics if you really want to enjoy and to succeed in it .	have	have	xcomp
4141	However you do n't have to have magical powers to play .	have	have	xcomp
2559	So you have imagination , you have total freedom , you can invent characters , you can invent all kind of development and surprises and this kind of end of story or another .	have	have	parataxis
3579	But if they 're enraged , then they may see you as questioning their ' perfect little world . '	see	you	obj
2161	I remember one of our ads that I had put in said , " If you think nice girls do n't do S&M , " -- I forgot what the rest of it said --	put	that	obj
1173	In his confusion he had taken elements from storybooks and imagined out of nothing this memory to punish himself .	taken	he	nsubj
234	More specifically , they answered “ yes ” that the puppet described the pictures well .	described	that	mark
2689	The hashtag took on a life of its own , and was used in messages on Twitter over one million times by Thursday night .	used	times	obl:npmod
3927	It is recommend that you use short words since they are commonly used .	used	they	nsubj:pass
1245	It felt really weird , trying to get that stuff in my lungs , and it made me feel a little buzzy but it did n’t even feel good , so it ’s pretty amazing that Cara will do it .	do	that	mark
2164	And that ad had pulled so many girls , because they -- I think they all thought that nice girls do n't do this .	do	that	mark
3981	Just put marks over the letters or make up something right on the spot , you might have to take some time on this !	time	this	nmod
632	He then starred in romantic comedy Leap Year ( 2010 ) and Australian drama Burning Man ( 2011 ) , the latter earning him a nomination for Best Actor at the Film Critics Circle of Australia Awards .	Australia	of	cc
3772	Hours of stress , or regular exposure to stressful situations , can cause serious health problems .	problems	health	amod
607	Whatever the reasons behind the duel , Galois was so convinced of his impending death that he stayed up all night writing letters to his Republican friends and composing what would become his mathematical testament , the famous letter to Auguste Chevalier outlining his ideas , and three attached manuscripts . [ 22 ]	convinced	so	advmod
266	Now that the world is in the age where lighting seems to be a daily necessity , typical homes as shown in figure 1 , consume nearly 27 percent of the energy used today : making lighting as the major source of electricity consumption .	consumption	of	case
267	Lighting plays a large part on the consumption of household electrical energy ; it consumes about 18 % of the total generated electricity of total energy consumption in residential sectors as shown in figure 2 [ 2 ] .	consumption	of	case
2223	The baseline data that I use to --	use	that	obj
341	One indication of the importance of replication is found in the 50 or more calls for replication research in the field of second language ( L2 ) research alone ( see references for 50 calls and commentaries in Appendix S1 in the Supporting Information online ) : from Santos ( 1989 ) through Polio and Gass 1997 to very recent proposals for specific replication studies , such as Vandergrift and Cross 2017 and even a book-length treatment ( Porte , 2012 ) .	calls	for	case
1888	But now I had to get ready to go with him to the lion fountain , where most of the others were gathered .	get	go	xcomp
1267	She turns back , watching where she ’s going , and she needs to get her hair done again because I can really see the gray roots .	get	see	advcl
3092	Chatham Motors have a range of nice rental vans available as well and they provide pretty good service for both visitors and locals .	well	as	mark
3354	Currently exurbs such as Apache Junction , Fountain Hills , Queen Creek , and Sun City are becoming part of this metropolitan area as well .	well	as	mark
2743	In the Kowloon West geographical constituency , pro-Beijing councillors Ann Chiang of DAB and Priscilla Leung of BPA were successfully re-elected , as well as pan-democratic councillors Claudia Mo of the Civic Party and Wong Pik-wan of the Democratic Party .	well	as	nmod
2110	What we could do , however , was to study anatomy and figure out what it is , so that when we have samples preserved for studying e.g. , the genome , transcriptome , or metabolome , or conduct tests of the fluid in the burrows or in the animals themselves , we can make precise comparisons , and figure out what these animals have or do ( metabolically or chemically ) that lets them live where they live .	have	so	mark
2205	I also have a profile they fill out for me , a mini-MMPI that I developed , so that I have an idea -- Rebecca and I put it together	have	so	mark
3076	There are no same-day return flights , so once there you have to stay at least one night .	have	so	mark
3784	When annoying people on an elevator , keep your pranks lighthearted and fun as opposed to mean-spirited so that everyone leaving the elevator will have a pleasant story to tell .	have	so	mark
4032	Some national companies even offer free shipping and handling so you can have some delivered or go to the local location .	have	so	mark
2653	On Friday , fishermen rescued over 700 asylum seekers whose boat sank , and the Indonesian Navy reportedly saved 200 more after they were found swimming along the coast of Aceh , Indonesia .	found	they	nsubj:pass
2341	On Saturday , Wikinews interviewed Tina McKenzie , a former member of the Australia women 's national wheelchair basketball team , known as the Gliders .	women	Australia	compound
2634	The long answer is a bit more complicated .	complicated	is	cop
2233	I 'm not sure which one you gave him , but there 's a brief , brief , brief IQ test there .	sure	's	conj
1775	“ You both said the same thing at the same time , you ’ve got to make a — ” He hit his forehead with his palm .	said	got	parataxis
2985	Which as we all know in 2014 , has only increased probably a thousand fold . "	know	all	advmod
3608	Mention people you know that they do n't like .	people	know	acl:relcl
3962	Make sure that it is a language that while speaking , you do n't get a literal knot in your tongue !	get	that	obj
2794	" Prompted I think by the Tom Cruise video , a new obsession is taking hold on the internet . An insurgency against The Church of Scientology . " Anonymous blogger , " Anon declares war on Church of Scientology "	taking	is	aux
2797	The poster wrote that " Prompted I think by the Tom Cruise video , a new obsession is taking hold on the internet .	taking	is	aux
2802	Some individuals reported that when they are able to reach the site , all they get is a message stating , " The word scientology means search for truth ... " .	message	that	mark
2081	Did you think when you created it that the Santorum cocktail would receive this news coverage ?	created	it	obj
3416	Like everything else , infrastructure and transportation has only just begun in recent years .	infrastructure	transportation	conj
3544	It 's a romantic city for a weekend break .	city	's	cop
3372	The weather varies enormously from one season to the next .	next	to	case
4168	The referee should ensure that rules are being followed .	followed	that	mark
4162	A common way to play is to make the snitch a person , and give the snitch a head start to run and hide in defined boundaries .	make	way	nsubj
2995	" As a way to commercialize his work , he would make a blue Marilyn and a pink Marilyn and a yellow Marilyn , and then you could pick your favorite color and buy that .	make	way	obl
384	We suggest that the different outcomes are due to the distinct rearing and exercising conditions used in each study , in addition to the different artificial tails used .	conditions	to	mark
932	During the World War II , the family was split , and Moreau lived with her mother in Paris .	War	II	dep
3299	The day before the outbreak of World War II , Łódź was inhabited by approximately 672,000 people , among whom 35 % were of Jewish faith and some 15 % were ethnic German .	War	II	nummod
3367	High-tech industry began to flourish after World War II , and since that time the growth of Phoenix has been explosive .	War	II	nummod
2089	We have no way to estimate how many times we 've served it overall , but we 're now pouring around ten a night .	ten	around	advmod
1413	And the lips of the dead lotos-faces whispered sadly , and bade me follow , nor did I cease my steps till the stream became a river , and joined amidst marshes of swaying reeds and beaches of gleaming sand the shore of a vast and nameless sea .	beaches	sand	nmod
2918	The city reasoned , " because the users of the private schools pay a frequency fee , this kind of activity is considered as a commercial one " ( ( it ) ) .	considered	one	obl
2918	The city reasoned , " because the users of the private schools pay a frequency fee , this kind of activity is considered as a commercial one " ( ( it ) ) .	considered	it	dep
605	On the other hand , extant newspaper clippings from only a few days after the duel give a description of his opponent ( identified by the initials " L. D. " ) that appear to more accurately apply to one of Galois ' Republican friends , most probably Ernest Duchatelet , who was imprisoned with Galois on the same charges . [ 21 ]	one	to	case
4132	If you do n't finish the task in the allotted time , then you move on to the next one .	one	to	case
1707	Does n’t it make you just want to sneeze ?	make	it	nsubj
2283	However , paying people to write and edit articles ultimately means that you have to make one of two sacrifices .	make	one	obj
2904	Muslims are required to make a pilgrimage to Mecca during their lifetimes , if physically or financially possible , as it is one of the five pillars of the Islamic faith .	make	one	advcl
3317	It has a population of about 750,000 , and is the largest city in the Yucatán Peninsula .	has	city	conj
1531	But that part of me had been cut out along with the bad wiring .	part	that	det
3383	Get in	Get	in	obl
3424	Get in	Get	in	obl
3424	Get in	Get	in	obl
3386	Phoenix Sky Harbor International Airport ( IATA : PHX ) +1602275-4958 is the main air gateway to Arizona .	Airport	International	amod
1465	It will help them take care of you . ”	take	you	obl
3819	Lay a Twister mat on the floor and ask people if they want to play .	ask	people	obj
3329	Here and there bits of ancient Maya stonework can be seen reused in Spanish Colonial era buildings in the old part of town .	buildings	era	compound
4129	Working with a timer is generally regarded by most experts as being one of the best ways to develop self-discipline and stop procrastination .	regarded	one	advcl
3112	Enjoy a guided tour of this beautiful and peaceful building .	building	this	det
3324	A large central market and numerous small shops are found all around the main plaza .	found	are	aux:pass
3441	Socotra Island is very rich and is home to many rare spectacular species of reefs , fish , birds , plants , and trees which are not found anywhere else in the world .	found	are	aux:pass
3442	The limestone plateau and the Hagghier Mountains are the richest areas for endemic plant species , but endemics are found throughout the island in every type of vegetation .	found	are	aux:pass
1258	“ I want you to stay at home , then , ” she says .	want	you	obj
317	These areas of interest are called Geofences .	called	are	aux:pass
1861	Most versions in English are called The Chemical Wedding of Christian Rosencreutz , which suggests ( and most people who ’ve heard of it suppose ) that the wedding is Christian ’s .	called	are	aux:pass
3855	Part 2 of 2 : Flirting Don'ts	Part	2	nummod
2112	we need to know what about them is different and thus related to living in this strange way .	different	what	nsubj
2487	If it makes the room laugh , it probably ends up in the paper .	makes	laugh	ccomp
2872	Taipei , Taiwan — The Taipei City Lantern Festival was off to a bright start on Saturday Night as hundreds of thousands of people crowded onto the Chiang Kai Shek Memorial near downtown Taipei to witness city mayor Hau Lung-bin and other dignitaries ceremoniously flip the switch to light hundreds of colorful lantern scenes in and around the 240,000 square meter memorial park .	start	to	case
2505	It ’s this quiet experience where you are trying to soak in what the joke is , have we done anything like this , is it a unique take , what are other people doing .	what	is	acl:relcl
1714	“ It ’s not a joke . ”	joke	’s	cop
1732	“ It ’s not a joke .	joke	’s	cop
3962	Make sure that it is a language that while speaking , you do n't get a literal knot in your tongue !	Make	sure	compound:prt
3965	Make sure that you and your friend(s) all follow a systematic language system .	Make	sure	compound:prt
3969	Make sure you practice saying and spelling out many basic words in your language , English examples : is , who , when , of , why , if , what , where , can , may , etc .	Make	sure	compound:prt
3499	Name streets East of Main are cities east of the Mississippi River , vice versa for name streets west of Main .	vice	versa	fixed
3790	When someone comes in , say , " I 've got this , " before you push all of the buttons .	comes	in	obl
2503	It ’s very much like you are trying to make the room laugh , but the room has been a sort of captive audience for many many years now , so it takes a lot to make the room laugh .	make	laugh	ccomp
2503	It ’s very much like you are trying to make the room laugh , but the room has been a sort of captive audience for many many years now , so it takes a lot to make the room laugh .	make	laugh	ccomp
3084	Freight charges on the Rangatira appear to be flexible and subject to change .	change	to	case
2689	The hashtag took on a life of its own , and was used in messages on Twitter over one million times by Thursday night .	life	own	nmod
1634	Really , we need you to do something sooner ...	need	you	obj
1513	I could see into his head better than I could see into my own ; he was scared that his attackers might think those hands were coming up to hit back , that they 'd read it as an act of defiance and hurt him even more .	read	they	nsubj
2425	Cheer the team today ; ( your boys in orange and blue ) Let them hear you shout as they fight for what 's mightily due	hear	you	obj
1965	I remember going into Hollywood Magic and wanting that big red box with the dragons on it and I did n't even know what it did .	know	did	ccomp
2223	The baseline data that I use to --	use	to	advcl
3203	If walking use caution , and if parking , make sure to feed the meter with plenty of pocket change ; the meter maids take their job very seriously .	use	make	conj
1536	Then again , Pag 's parents had n't messed with nature , and look what it got them : a son curled up in the dirt while a bunch of engineered superboys kicked in his ribs .	got	them	iobj
3569	Arrogance and smugness is often a reflection of limited life experience , and feeling concerned that those with greater life experience " have got something over them " .	got	them	obl
1676	" My father will like you , " she said .	like	you	obj
3616	If they have been saying bad things about you , they may simply not like you .	like	you	obj
4050	If this is a solo jump , then skip to step 6 .	skip	step	obl
3920	Method 2 of 2 : Using Grammar	Method	2	nmod
2828	Microsoft 's Internet Explorer 6 is one of the most successful software products ever as measured by its durability and the massive numbers of people who have used it .	used	it	obj
